TCGA.2F.A9KP.01A	TCGA.2F.A9KQ.01A	TCGA.2F.A9KR.01A	TCGA.2F.A9KT.01A	TCGA.2F.A9KW.01A	TCGA.4Z.AA7M.01A	TCGA.4Z.AA7N.01A	TCGA.4Z.AA7O.01A	TCGA.4Z.AA7Q.01A	TCGA.4Z.AA7R.01A	TCGA.4Z.AA7S.01A	TCGA.4Z.AA7W.01A	TCGA.4Z.AA7Y.01A	TCGA.4Z.AA80.01A	TCGA.4Z.AA81.01A	TCGA.4Z.AA82.01A	TCGA.4Z.AA83.01A	TCGA.4Z.AA84.01A	TCGA.4Z.AA86.01A	TCGA.4Z.AA87.01A	TCGA.4Z.AA89.01A	TCGA.5N.A9KI.01A	TCGA.5N.A9KM.01A	TCGA.BL.A0C8.01A	TCGA.BL.A0C8.01B	TCGA.BL.A13I.01A	TCGA.BL.A13I.01B	TCGA.BL.A13J.01A	TCGA.BL.A13J.01B	TCGA.BL.A13J.11A	TCGA.BL.A3JM.01A	TCGA.BL.A5ZZ.01A	TCGA.BT.A0S7.01A	TCGA.BT.A0YX.01A	TCGA.BT.A20J.01A	TCGA.BT.A20N.01A	TCGA.BT.A20N.11A	TCGA.BT.A20O.01A	TCGA.BT.A20P.01A	TCGA.BT.A20Q.01A	TCGA.BT.A20Q.11A	TCGA.BT.A20R.01A	TCGA.BT.A20R.11A	TCGA.BT.A20T.01A	TCGA.BT.A20U.01A	TCGA.BT.A20U.11A	TCGA.BT.A20V.01A	TCGA.BT.A20W.01A	TCGA.BT.A20W.11A	TCGA.BT.A20X.01A	TCGA.BT.A2LA.01A	TCGA.BT.A2LA.11A	TCGA.BT.A2LB.01A	TCGA.BT.A2LB.11A	TCGA.BT.A2LD.01A	TCGA.BT.A3PH.01A	TCGA.BT.A3PJ.01A	TCGA.BT.A3PK.01A	TCGA.BT.A42C.01A	TCGA.BT.A42E.01A	TCGA.BT.A42F.01A	TCGA.C4.A0EZ.01A	TCGA.C4.A0F0.01A	TCGA.C4.A0F1.01A	TCGA.C4.A0F6.01A	TCGA.C4.A0F7.01A	TCGA.CF.A1HR.01A	TCGA.CF.A1HS.01A	TCGA.CF.A27C.01A	TCGA.CF.A3MF.01A	TCGA.CF.A3MG.01A	TCGA.CF.A3MH.01A	TCGA.CF.A3MI.01A	TCGA.CF.A47S.01A	TCGA.CF.A47T.01A	TCGA.CF.A47V.01A	TCGA.CF.A47W.01A	TCGA.CF.A47X.01A	TCGA.CF.A47Y.01A	TCGA.CF.A5U8.01A	TCGA.CF.A5UA.01A	TCGA.CF.A7I0.01A	TCGA.CF.A8HX.01A	TCGA.CF.A8HY.01A	TCGA.CF.A9FF.01A	TCGA.CF.A9FL.01A	TCGA.CF.A9FM.01A	TCGA.CU.A0YN.01A	TCGA.CU.A0YN.11A	TCGA.CU.A0YO.01A	TCGA.CU.A0YR.01A	TCGA.CU.A0YR.11A	TCGA.CU.A3KJ.01A	TCGA.CU.A3QU.01A	TCGA.CU.A3YL.01A	TCGA.CU.A5W6.01A	TCGA.CU.A72E.01A	TCGA.DK.A1A3.01A	TCGA.DK.A1A5.01A	TCGA.DK.A1A6.01A	TCGA.DK.A1A7.01A	TCGA.DK.A1AA.01A	TCGA.DK.A1AB.01A	TCGA.DK.A1AC.01A	TCGA.DK.A1AD.01A	TCGA.DK.A1AE.01A	TCGA.DK.A1AF.01A	TCGA.DK.A1AG.01A	TCGA.DK.A2HX.01A	TCGA.DK.A2I1.01A	TCGA.DK.A2I2.01A	TCGA.DK.A2I4.01A	TCGA.DK.A2I6.01A	TCGA.DK.A3IK.01A	TCGA.DK.A3IL.01A	TCGA.DK.A3IM.01A	TCGA.DK.A3IN.01A	TCGA.DK.A3IQ.01A	TCGA.DK.A3IS.01A	TCGA.DK.A3IT.01A	TCGA.DK.A3IU.01A	TCGA.DK.A3IV.01A	TCGA.DK.A3WW.01A	TCGA.DK.A3WX.01A	TCGA.DK.A3WY.01A	TCGA.DK.A3X1.01A	TCGA.DK.A3X2.01A	TCGA.DK.A6AV.01A	TCGA.DK.A6AW.01A	TCGA.DK.A6B0.01A	TCGA.DK.A6B1.01A	TCGA.DK.A6B2.01A	TCGA.DK.A6B5.01A	TCGA.DK.A6B6.01A	TCGA.DK.AA6L.01A	TCGA.DK.AA6M.01A	TCGA.DK.AA6P.01A	TCGA.DK.AA6Q.01A	TCGA.DK.AA6R.01A	TCGA.DK.AA6S.01A	TCGA.DK.AA6T.01A	TCGA.DK.AA6U.01A	TCGA.DK.AA6W.01A	TCGA.DK.AA6X.01A	TCGA.DK.AA71.01A	TCGA.DK.AA74.01A	TCGA.DK.AA75.01A	TCGA.DK.AA76.01A	TCGA.DK.AA77.01A	TCGA.E5.A2PC.01A	TCGA.E5.A4TZ.01A	TCGA.E5.A4U1.01A	TCGA.E7.A3X6.01A	TCGA.E7.A3Y1.01A	TCGA.E7.A4IJ.01A	TCGA.E7.A4XJ.01A	TCGA.E7.A519.01A	TCGA.E7.A541.01A	TCGA.E7.A5KE.01A	TCGA.E7.A5KF.01A	TCGA.E7.A677.01A	TCGA.E7.A678.01A	TCGA.E7.A6MD.01A	TCGA.E7.A6ME.01A	TCGA.E7.A6MF.01A	TCGA.E7.A7DU.01A	TCGA.E7.A7DV.01A	TCGA.E7.A7PW.01A	TCGA.E7.A7XN.01A	TCGA.E7.A85H.01A	TCGA.E7.A8O7.01A	TCGA.E7.A8O8.01A	TCGA.E7.A97P.01A	TCGA.E7.A97Q.01A	TCGA.FD.A3B3.01A	TCGA.FD.A3B4.01A	TCGA.FD.A3B5.01A	TCGA.FD.A3B6.01A	TCGA.FD.A3B7.01A	TCGA.FD.A3B8.01A	TCGA.FD.A3N5.01A	TCGA.FD.A3N6.01A	TCGA.FD.A3NA.01A	TCGA.FD.A3SJ.01A	TCGA.FD.A3SL.01A	TCGA.FD.A3SM.01A	TCGA.FD.A3SN.01A	TCGA.FD.A3SO.01A	TCGA.FD.A3SP.01A	TCGA.FD.A3SQ.01A	TCGA.FD.A3SR.01A	TCGA.FD.A3SS.01A	TCGA.FD.A43N.01A	TCGA.FD.A43P.01A	TCGA.FD.A43S.01A	TCGA.FD.A43U.01A	TCGA.FD.A43X.01A	TCGA.FD.A43Y.01A	TCGA.FD.A5BR.01A	TCGA.FD.A5BS.01A	TCGA.FD.A5BT.01A	TCGA.FD.A5BU.01A	TCGA.FD.A5BV.01A	TCGA.FD.A5BX.01A	TCGA.FD.A5BY.01A	TCGA.FD.A5BZ.01A	TCGA.FD.A5C0.01A	TCGA.FD.A5C1.01A	TCGA.FD.A62N.01A	TCGA.FD.A62O.01A	TCGA.FD.A62P.01A	TCGA.FD.A62S.01A	TCGA.FD.A6TA.01A	TCGA.FD.A6TB.01A	TCGA.FD.A6TC.01A	TCGA.FD.A6TD.01A	TCGA.FD.A6TE.01A	TCGA.FD.A6TF.01A	TCGA.FD.A6TG.01A	TCGA.FD.A6TH.01A	TCGA.FD.A6TI.01A	TCGA.FD.A6TK.01A	TCGA.FJ.A3Z7.01A	TCGA.FJ.A3ZE.01A	TCGA.FJ.A3ZF.01A	TCGA.FJ.A871.01A	TCGA.FT.A3EE.01A	TCGA.FT.A61P.01A	TCGA.G2.A2EC.01A	TCGA.G2.A2EF.01A	TCGA.G2.A2EJ.01A	TCGA.G2.A2EK.01A	TCGA.G2.A2EL.01A	TCGA.G2.A2EO.01A	TCGA.G2.A2ES.01A	TCGA.G2.A3IB.01A	TCGA.G2.A3IE.01A	TCGA.G2.A3VY.01A	TCGA.G2.AA3B.01A	TCGA.G2.AA3C.01A	TCGA.G2.AA3D.01A	TCGA.G2.AA3F.01A	TCGA.GC.A3BM.01A	TCGA.GC.A3BM.11A	TCGA.GC.A3I6.01A	TCGA.GC.A3OO.01A	TCGA.GC.A3RB.01A	TCGA.GC.A3RC.01A	TCGA.GC.A3RD.01A	TCGA.GC.A3WC.01A	TCGA.GC.A3WC.11A	TCGA.GC.A3YS.01A	TCGA.GC.A4ZW.01A	TCGA.GD.A2C5.01A	TCGA.GD.A2C5.11A	TCGA.GD.A3OP.01A	TCGA.GD.A3OP.11A	TCGA.GD.A3OQ.01A	TCGA.GD.A3OQ.11A	TCGA.GD.A3OS.01A	TCGA.GD.A6C6.01A	TCGA.GD.A76B.01A	TCGA.GU.A42P.01A	TCGA.GU.A42Q.01A	TCGA.GU.A42R.01A	TCGA.GU.A762.01A	TCGA.GU.A763.01A	TCGA.GU.A764.01A	TCGA.GU.A766.01A	TCGA.GU.A767.01A	TCGA.GU.AATO.01A	TCGA.GU.AATP.01A	TCGA.GU.AATQ.01A	TCGA.GV.A3JV.01A	TCGA.GV.A3JW.01A	TCGA.GV.A3JX.01A	TCGA.GV.A3JZ.01A	TCGA.GV.A3QF.01A	TCGA.GV.A3QH.01A	TCGA.GV.A3QI.01A	TCGA.GV.A3QK.01B	TCGA.GV.A40E.01A	TCGA.GV.A40G.01A	TCGA.GV.A6ZA.01A	TCGA.H4.A2HO.01A	TCGA.H4.A2HQ.01A	TCGA.HQ.A2OF.01A	TCGA.HQ.A5ND.01A	TCGA.HQ.A5NE.01A	TCGA.K4.A3WS.01A	TCGA.K4.A3WU.01B	TCGA.K4.A3WV.01A	TCGA.K4.A3WV.11A	TCGA.K4.A4AB.01B	TCGA.K4.A4AC.01A	TCGA.K4.A54R.01A	TCGA.K4.A54R.11A	TCGA.K4.A5RH.01A	TCGA.K4.A5RI.01A	TCGA.K4.A5RI.11A	TCGA.K4.A5RJ.01A	TCGA.K4.A6FZ.01A	TCGA.K4.A6MB.01A	TCGA.K4.A83P.01A	TCGA.K4.AAQO.01A	TCGA.KQ.A41N.01A	TCGA.KQ.A41O.01A	TCGA.KQ.A41P.01A	TCGA.KQ.A41Q.01A	TCGA.KQ.A41R.01A	TCGA.KQ.A41S.01A	TCGA.LC.A66R.01A	TCGA.LT.A5Z6.01A	TCGA.LT.A8JT.01A	TCGA.MV.A51V.01A	TCGA.PQ.A6FI.01A	TCGA.PQ.A6FN.01A	TCGA.R3.A69X.01A	TCGA.S5.A6DX.01A	TCGA.S5.AA26.01A	TCGA.SY.A9G0.01A	TCGA.SY.A9G5.01A	TCGA.UY.A78K.01A	TCGA.UY.A78L.01A	TCGA.UY.A78M.01A	TCGA.UY.A78N.01A	TCGA.UY.A78O.01A	TCGA.UY.A78P.01A	TCGA.UY.A8OB.01A	TCGA.UY.A8OD.01A	TCGA.UY.A9PA.01A	TCGA.UY.A9PB.01A	TCGA.UY.A9PD.01A	TCGA.UY.A9PE.01A	TCGA.UY.A9PF.01A	TCGA.UY.A9PH.01A	TCGA.XF.A8HB.01A	TCGA.XF.A8HC.01A	TCGA.XF.A8HD.01A	TCGA.XF.A8HE.01A	TCGA.XF.A8HF.01A	TCGA.XF.A8HG.01A	TCGA.XF.A8HH.01A	TCGA.XF.A8HI.01A	TCGA.XF.A9SH.01A	TCGA.XF.A9SI.01A	TCGA.XF.A9SJ.01A	TCGA.XF.A9SK.01A	TCGA.XF.A9SL.01A	TCGA.XF.A9SM.01A	TCGA.XF.A9SP.01A	TCGA.XF.A9ST.01A	TCGA.XF.A9SU.01A	TCGA.XF.A9SV.01A	TCGA.XF.A9SW.01A	TCGA.XF.A9SX.01A	TCGA.XF.A9SY.01A	TCGA.XF.A9SZ.01A	TCGA.XF.A9T0.01A	TCGA.XF.A9T2.01A	TCGA.XF.A9T3.01A	TCGA.XF.A9T4.01A	TCGA.XF.A9T5.01A	TCGA.XF.A9T6.01A	TCGA.XF.A9T8.01A	TCGA.XF.AAME.01A	TCGA.XF.AAMG.01A	TCGA.XF.AAMH.01A	TCGA.XF.AAMJ.01A	TCGA.XF.AAML.01A	TCGA.XF.AAMQ.01A	TCGA.XF.AAMR.01A	TCGA.XF.AAMT.01A	TCGA.XF.AAMW.01A	TCGA.XF.AAMX.01A	TCGA.XF.AAMY.01A	TCGA.XF.AAMZ.01A	TCGA.XF.AAN0.01A	TCGA.XF.AAN1.01A	TCGA.XF.AAN2.01A	TCGA.XF.AAN3.01A	TCGA.XF.AAN4.01A	TCGA.XF.AAN5.01A	TCGA.XF.AAN7.01A	TCGA.XF.AAN8.01A	TCGA.YC.A89H.01A	TCGA.YC.A8S6.01A	TCGA.YC.A9TC.01A	TCGA.YF.AA3L.01A	TCGA.YF.AA3M.01A	TCGA.ZF.A9R0.01A	TCGA.ZF.A9R1.01A	TCGA.ZF.A9R2.01A	TCGA.ZF.A9R3.01A	TCGA.ZF.A9R4.01A	TCGA.ZF.A9R5.01A	TCGA.ZF.A9R7.01A	TCGA.ZF.A9R9.01A	TCGA.ZF.A9RC.01A	TCGA.ZF.A9RD.01A	TCGA.ZF.A9RE.01A	TCGA.ZF.A9RF.01A	TCGA.ZF.A9RL.01A	TCGA.ZF.A9RM.01A	TCGA.ZF.A9RN.01A	TCGA.ZF.AA4N.01A	TCGA.ZF.AA4R.01A	TCGA.ZF.AA4T.01A	TCGA.ZF.AA4U.01A	TCGA.ZF.AA4V.01A	TCGA.ZF.AA4W.01A	TCGA.ZF.AA4X.01A	TCGA.ZF.AA51.01A	TCGA.ZF.AA52.01A	TCGA.ZF.AA53.01A	TCGA.ZF.AA54.01A	TCGA.ZF.AA56.01A	TCGA.ZF.AA58.01A	TCGA.ZF.AA5H.01A	TCGA.ZF.AA5N.01A	TCGA.ZF.AA5P.01A	genes
394	4361	100	3	13	3	437	7193	0	0	2359	1	24472	8716	0	583	4925	2	27	1337	25141	27	0	17	3	3	1	5	2	326	43	34	24	8	20	19	89	12	1788	122	81	105	122	1201	19	23	272	1386	157	54	1064	52523	1060	195	23	40	5	10	2049	7	3	2892	12	55	1	119	2266	79	1170	122	881	72	74	62976	3989	19022	3707	28407	58541	129784	73	1161	2868	463	3586	42	5571	149	45	125	11	2521	32	0	167	85	5	15	73	613	5883	18227	214	168	247	7	114	1049	110	9790	17	216	3	2498	69	27	7	49	513	39	26	91	2	3	182	2	15	702	116	6650	8	48	24	3107	102	1	11369	2	2	19	620	188	26	15	54	164	45	206	1206	2	2	66425	3	334	212	32	3349	29	29	5522	6864	19323	174	340	2759	2840	3	1478	1	106	4222	12	3	340	12	58	3	1	54	49	3	24	427	1509	54	7	6	5	3	134	16	12	31	109	1313	3191	25637	16	1372	36	13	31	89	134	497	1182	42	27	97	1433	24	29	11	15	29	15	93	34	49	69	3063	51	7	36	32	85	21	32	8605	97	5	246	329	5441	2	55	84498	1158	1	0	22	193	316	37410	44	40	1259	10	42	31	97	8	10	9501	3305	31865	5240	198	6773	2604	29	502	6	22	112	34	150425	83	22	8634	54	1	3	193	5508	7	440	1	90	7362	6328	10	21	273	14	100	39	6	574	167	154	1	9757	54	3	2	36913	357	8	10910	17	791	132	106	5347	1089	18594	48	441	19	984	3	110	94803	60	15	15	165	38	116	331	13	16	11	26	7094	12824	6	0	79	951	20	424	2	1089	17	1	451	5	15	163	8259	36	23309	17	205	8	42	119	5	56	801	47	1689	204	3	5	6	2693	14	14	7	15	2	34	113	138	412	23	128	873	314	21	48	3	66	547	464	1442	2	78	171	10	10	84	11	3460	7	3876	5	363	415	536	4050	154	708	22	15	44	10	6	12	26715	2140	1	2	90	21	72	10	78	348	109	7	2	47	404	23	27	23	46	ENSG00000095713
0	0	2	0	0	5	3	1	0	27	0	0	0	7	1	1	0	0	5	2	2	11	17	0	0	0	0	7	3	193	0	8	399	1	3	1	50	64	0	45	75	54	497	1	2	10	233	2	29	6	1514	22	23	1	5	0	3	3	2	1	0	0	0	19	2	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	1	345	7	1	467	44	0	5	14	22	19	15	1	7	0	150	5	5	87	6	0	309	43	2	1	1	7	72	3	1	736	0	32	51	3	0	7	36	6	7	0	1	3	0	7	0	0	0	0	0	1	2	5	3	29	3	0	3	3	0	0	0	38	3	0	2	2	20	0	0	1	2	5	0	0	5	191	0	0	0	7	0	0	0	0	1	1	41	7	13	0	3	15	0	0	5	202	114	12	1	0	34	85	10	3	10	68	3	3	0	3	3	2	0	1	12	0	12	60	32	6	7	2	10	65	3	23	64	0	3	59	60	3	2	3	1	0	0	0	0	5	0	340	0	3	1023	139	1	0	0	0	0	0	2	0	0	2	2	23	0	0	2	65	159	3	1	15	36	7	98	0	48	1	2	17	3	13	0	1	0	5	5	23	5	3	90	0	795	32	3	0	3	39	0	1	0	0	0	3	1	48	5	156	7	5	5	210	1	21	5	8	8	31	2	0	1	15	43	0	1	7	1	1	6	0	0	0	0	0	2	42	2	7	321	15	0	0	0	7	1	0	0	110	0	3	7	2	0	0	0	0	0	3	3	0	5	2	1	112	0	20	132	0	131	1	7	7	38	10	3	6	0	0	29	0	3	1	5	65	0	1	54	1	0	70	102	0	1	17	0	2	0	0	202	427	0	2	1	2	0	345	0	0	7	23	17	1371	1	0	1	23	74	22	1	0	1	25	2	0	10	2	0	3	1	2	0	3	3	0	12	0	3	0	7	ENSG00000121871
0	0	79	1	3	0	0	3	0	0	0	1	1	0	0	0	1	0	0	0	3	1	0	0	1	0	2	12	3	0	0	193	2	3610	0	0	0	0	2	1	0	0	0	0	54	155378	0	0	23	199	0	2	164	526762	0	0	3	10247	0	0	1	11	3	2	1	0	0	3	2	0	0	0	0	0	85	1	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	10	3	1	65	25	0	0	0	15	51	52	1	0	20	0	0	1	0	0	0	0	0	0	3	0	0	3	0	0	0	1	1	0	1	0	0	1	1	0	1	3	0	0	0	0	1	32	0	0	1	1	0	5	0	0	5	0	0	2667	3	3	2	0	0	0	0	0	0	5	0	8	0	3	0	0	3	6	1	0	10	0	1	168	159	19047	7	0	0	321	58	5	0	0	0	0	0	1	0	0	1	0	0	1	0	2	1	1	0	0	1	0	0	0	1	0	6	0	13	7	12	0	0	0	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	59	2	0	0	137	852	0	0	1456	0	3	7	7	0	15	0	1	0	23	2	2	0	0	0	11	0	192	10	0	1	1	0	0	1	2	0	12	0	41	3	0	0	2	0	36	10	0	1	0	3	0	1	2	3	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	1	11	0	0	0	1	17	0	0	0	2	7	0	0	3	1	0	7	17	0	0	0	0	7	2	0	3	14	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	8	1	0	0	0	74	340	0	0	0	0	3	1	13	1	1	0	0	1129	0	297	1	0	0	0	0	161	32	0	0	0	0	17	2	0	1	5	0	0	0	1507	9812	1	1	0	1	22	2	0	1	0	3	0	0	0	2	0	20	0	0	2	1	ENSG00000143536
0	20	1	0	1	20	8	0	1	6	0	0	0	32	3	1	43	0	2	2	1	344	1	1	2	2	0	0	2	0	1	2	0	0	0	1	3	0	0	0	0	0	10	1	0	3	0	169	3	0	505	13	5	6	2	1	0	8	72	0	0	0	0	0	0	3	1	0	0	1161	0	0	1	8476	74	603	24	7	12	25012	1	0	0	0	0	0	0	1	1	1	0	0	2	0	13	2	0	0	0	0	1	2	0	0	15	1	142	7	0	3	0	0	0	296	0	0	15	0	0	0	25	0	0	2	3	0	0	1	1767	60	0	505	0	0	0	0	3	0	2	0	38	1	131	27	0	0	1	1	0	0	0	26	0	0	0	0	8900	0	0	14	0	0	0	142	5	1	2	1	0	63	12787	1	1	2	3	0	0	0	0	0	0	0	38	0	24	0	0	1	0	975	0	2	7	7	6	0	0	2	3	2	0	0	0	0	0	4676	0	5	0	0	1	10	10	23	0	0	1	0	2	0	29	0	3	0	12	0	0	7	0	3	0	3693	2971	5	0	0	0	2	91	0	1	0	1	3	0	0	21	0	0	0	1	0	0	60	14	284	2	3	1	1	2	75	323	0	0	0	1	0	0	0	0	532	3	0	3	23	1	103	5	0	2	0	2	3	0	0	0	0	2	14	1	2630	1314	24	0	0	8	0	2	6	1	1	0	19	0	117	1	1	0	0	3	3	0	1	0	0	1	350	1	0	125	1	0	0	0	0	0	7	0	1	1	0	1	191	1	2	0	0	0	0	0	23	0	233	0	32	0	0	26	0	91	1	109	3	11	2	0	2892	0	0	15	3	0	0	0	81	54	32	12	0	3	3	0	3	0	59	0	0	0	0	0	2	0	0	0	0	29	0	0	3	0	0	1	4747	2	7	0	0	1716	0	0	0	0	1	1	0	0	0	0	0	20	0	0	2	1	0	2	0	1	16	0	ENSG00000157005
0	0	32	3	3	0	0	19	48	0	0	0	0	0	1	51	0	0	2	0	2	0	0	0	1	0	2	1	12	0	0	54	412	3	0	0	0	0	0	3	0	0	0	3	23	2166	15	0	1	132	12	2	1	103	0	2	2	46	0	0	0	0	0	7	3	96	0	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	3	0	14	0	0	1	0	0	2	0	0	0	0	0	0	183	0	0	6	0	0	0	0	1	0	0	0	0	3	6	6	1	0	2	0	2	7	0	0	523	2	1	0	0	0	6	0	0	0	0	2	13	1	0	0	105	1	7	0	0	2	1	0	850	3	1	0	0	0	0	0	0	1	3	0	0	0	1	0	0	6	1	0	0	0	0	0	16	1	479	3	3	1	259	489	2	1	0	1	3	0	0	1	1	606	0	3	0	0	0	1	2	0	3	1	0	0	210	73	5	0	0	2	152	3	2	5	1	2	1	0	0	1	7	1	0	2	0	0	1	0	0	2	21	0	12	0	69	205	0	0	0	0	6	0	11	0	1	1	1	2	3	3	0	1	0	1	3	0	1	3	0	23	0	3	1	3	22	0	0	0	0	0	1	0	2	0	15	0	0	0	0	0	0	0	0	0	0	3	0	8	14	2	1	112	0	6	0	0	0	0	3	0	0	3	50	0	0	0	0	1	0	0	0	1	15	0	0	2	0	0	0	6	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	3	0	0	79	0	0	0	0	0	0	0	2	0	0	0	21	0	0	0	0	0	0	1	2	0	3	0	2	0	23	0	1	0	0	1	3	1	3	5	1	0	1	0	3	7	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	17	6	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	15	0	0	1	1	ENSG00000166634
1	7	0	1	1	0	1	653	0	0	3	0	34	0	0	0	7	1	0	1	60	0	1	0	0	0	0	7	1	0	0	1	0	46	1	408	0	0	0	6	2	0	0	8	0	1	3	0	3	1	0	202	40	1	0	3	2	0	42	2	1	0	0	0	6	0	6	0	447	1	0	2	0	4801	309	316	21	49	454	412	0	23	0	1	43	5	187	3	1	5	1	8	1	0	0	1	0	0	0	0	0	15	2	0	0	0	22	3	1	23	1	7	19	13	0	1	419	0	2	95	3	0	0	0	0	7	0	1	36	134	0	0	1	0	32	1	22	0	0	1	0	2	0	0	0	0	41	8	206	0	0	17	2	216	7	1	45	24	0	269	78	286	1	6	0	47	0	23	0	0	322	1	0	2	1	64	2	0	1	3	0	6	954	2	0	0	8	2	0	1	0	0	1	7	42	0	43	0	0	0	2	0	74	0	49	0	0	0	1	1	0	0	11	0	65	2	17	1	1	0	16	2	0	0	0	0	731	0	241	5	2	10	0	0	0	0	26	107	13	0	3	1	17	127	7	0	3	2	861	1	0	0	0	1	3	174	73	19	140	0	3	2	1	0	3	2	1861	5	2	21	0	1	0	0	31	42	1	0	0	2	7	1	0	3	3	427	2	2	20	0	0	3	5	6	0	0	1781	0	0	69	0	15	2	0	2	10	8	47	2	0	1	1	29	15	2	1	2	0	0	10	0	1	0	3	205	0	3	1	60	7	147	0	0	0	34	1	1	2	1217	0	0	15	0	69	1	1	3	0	0	1	5	0	70	0	1	0	0	0	2	0	1	5	0	3	1	1	3	20	1	3	2	0	0	0	1	0	5	3	2	1	0	0	29	0	0	3	12	0	15	1	0	29	0	0	0	3	7	1	2	0	0	5	0	0	0	0	2	0	34	3	0	64	599	0	0	0	3	0	1	0	0	ENSG00000169605
338	29404	43	12	27	12	422	63	22	38	63	20	5294	87	23	36	25	84	134	100	620	8850	329	139	72	8	6	7	10	15	17	39	2	0	411	23	5	6	221	32	15	21	15	2171	184	22	129	59	589	8	19	11917	284	48	81	24	0	7	102	36	34	102	0	2	10	3	13562	32	7479	15	11542	8132	45	331	40	74	44	33796	172	261	237	502	2917	44	259	6	147	20	8	964	63	532	7	160	5470	180	26	2	174	15	540	3329	23	21	172	2	63	830	6364	46	2	12	64	570	63	13	3	193	3489	70	13	3548	2	42	43	58	29	84	4796	329	23700	160	31	36	85	7	129	14	5	16	50	181	8	199	23	15	91	1894	739	27	40	577	32	95	207	144	47	75	152	140	158	50	78	388	990	962	7	109	12	25	424	15410	23	216	10	25	8	8	7	14	131	7	536	69	34	34	51	2	17	180	31	39	78	52	3725	117	4419	38	32	4681	3	3	42	94	159	75	36	7	8	32	29	13	406	7427	60	155	121	23	122	58	287	36	20	15	181	175	605	7	1454	50	6	171	51	32	3	39	454	14	180	7	419	12	83	1488	54	12236	17	10	43	29	1613	32	274	51	1846	11856	4491	370	5313	40	48	345	426	14	188	19	540	49	21	68	222	110	13	17	34	26380	149	228	226	1415	1330	23	2994	412	2348	182	48608	107	1303	39	164	7	228	72	46	15	1714	8	73	229	52	6004	85	69	192	38	3164	1024	132	845	158	2	5704	206	40790	7	14	1629	60	2042	11	62	95	15	12	73	193	1121	3	891	3799	15	24	369	257	132	24276	16730	42	11	7	5	25	4475	1495	881	7	1629	7367	5	13	50	7	65	5	13	1	16	5	40	81	14	36	3	11	155	132	279	1172	29	29503	237	105	154	16	39	5	202	202	2	276	7	3	36	7	26	437	14	4529	154	251	70	58	4464	19	38	286	140	51	3	22	7	39	60	19	6	21	42	127	23	1	959	16	49	2	2	2483	54	7	7	45	ENSG00000171747
7	10	0	150	0	2	5	1	0	3	0	1	5	8	29	1	1049	6	0	0	172	36	26	5	0	5	3	0	1	0	1	11	1	0	1	1	0	0	2	0	0	0	0	0	0	1	0	15	14	1	1	8	1	7	0	0	32	12	29	1	39	0	0	0	0	0	15	7	11	7	75	183	102	29	0	100	26	7	52	5	0	32	3	131	22	0	10	2	0	2	72	1	0	3	653	17	0	0	7	0	3	152	1	0	0	0	16	34	0	2	16	27	178	5	0	2	114	1	10	1	1	0	0	15	0	5	19	25	2069	73	3	0	0	1	3	2	3	5	2	0	0	2	0	0	2	2	7	0	0	24	0	55	7	0	1	3	48	7	1	23	29	0	0	27	0	29	640	0	0	0	32	7	1	0	2	2	1	229	32	0	0	0	7	0	3	0	58	45	10	1	0	0	1	1	2	2	975	0	0	0	0	0	6	0	3	7	0	8	0	3	0	2	1	12	1	29	85	0	13	3	2	0	0	2	0	0	25	24	0	47	0	0	0	0	1	2	0	0	3	3	2	0	22	1	0	244	10	0	3	1	0	1	0	2	6	0	23	3	1	5	152	0	13	2	25	1	0	0	2	1	0	1	0	6	2	29	15	8	15	776	127	6	36	119	1	19	36	2	55	0	1	0	0	0	3	1	22	5	0	0	107	149	0	3	0	2	0	2	1	0	1	0	6	1	842	3	2	5	1	3	1	0	10	65	3	2	0	7	0	0	102	0	0	0	0	32	15	6	11	0	2	1	0	26	23	0	83	0	3	3	3	1	3	0	0	0	0	0	0	2	196	27	0	32	0	7	7	6	0	0	7	0	3	0	0	1	74	1	81	2	0	0	0	0	1	3	329	3	74	27	3	8	59	6	2	0	0	0	31	2	0	1946	0	10	0	1	0	0	26	331	3	1	2	7	0	0	41	0	27	1	0	ENSG00000173237
